stop_id,area_name,area_code
par_8_06897,Biblioteca Municipal - Gabriel Celaya,Q85699090
par_8_06898,Biblioteca Municipal - Gabriel Celaya,Q85699090
par_8_06899,Biblioteca Municipal - Gabriel Celaya,Q85699090
par_8_06900,Biblioteca Municipal - Gabriel Celaya,Q85699090
par_8_06901,La Casa Grande,Q5962737
par_8_06902,La Casa Grande,Q5962737
par_8_06903,La Casa Grande,Q5962737
par_8_06904,La Casa Grande,Q5962737
par_8_06906,sede de la Audiencia Nacional en San Fernando de Henares,Q83057064
par_8_06907,sede de la Audiencia Nacional en San Fernando de Henares,Q83057064
par_8_06908,Hostal Plaza Mayor,Q112012021
par_8_06909,Hostal Plaza Mayor,Q112012021
par_8_06912,Museo de la Ciudad de Torrejón de Ardoz,Q6034222
par_8_06913,Museo de la Ciudad de Torrejón de Ardoz,Q6034222
par_8_06914,Sala de Lectura del Parque y Centro de Mantenimiento de Vehículos de Rueda nº 1 (PCMVR 1),Q85699095
par_8_06915,plaza de toros de Torrejón de Ardoz,Q101998863
par_8_06916,Torrejón de Ardoz,Q24012681
par_8_06918,Torrejón de Ardoz,Q24012681
par_8_06919,"La Caja del Arte, Torrejón de Ardoz",Q52379425
par_8_06920,"La Caja del Arte, Torrejón de Ardoz",Q52379425
par_8_06921,"La Caja del Arte, Torrejón de Ardoz",Q52379425
par_8_06922,"La Caja del Arte, Torrejón de Ardoz",Q52379425
par_8_06923,"La Caja del Arte, Torrejón de Ardoz",Q52379425
par_8_06927,Arroyo de Pelayo,Q23993678
par_8_06929,Parque Europa (Torrejón de Ardoz),Q6062179
par_8_06930,Parque Europa (Torrejón de Ardoz),Q6062179
par_8_06931,Biblioteca Municipal Juvenil - La Isla Misteriosa,Q85699093
par_8_06932,Biblioteca Municipal Juvenil - La Isla Misteriosa,Q85699093
par_8_06935,Biblioteca Municipal Juvenil - La Isla Misteriosa,Q85699093
par_8_06936,Biblioteca Municipal Juvenil - La Isla Misteriosa,Q85699093
par_8_06937,Biblioteca Municipal Juvenil - La Isla Misteriosa,Q85699093
par_8_06938,Biblioteca Municipal Juvenil - La Isla Misteriosa,Q85699093
par_8_06939,Avenida de la Constitución,Q5693674
par_8_06940,Avenida de la Constitución,Q5693674
par_8_06941,Biblioteca Municipal Central - Federico García Lorca,Q85699092
par_8_06942,Avenida de la Constitución,Q5693674
par_8_06943,Biblioteca Municipal - Enrique Tierno Galván,Q85699088
par_8_06944,Biblioteca Municipal - Enrique Tierno Galván,Q85699088
par_8_06946,Museo de la Ciudad de Torrejón de Ardoz,Q6034222
par_8_06948,Paseo de la Estación,Q56713687
par_8_06949,Central Eléctrica Complutense,Q112081080
par_8_06950,Central Eléctrica Complutense,Q112081080
par_8_06952,Instituto de Educación Secundaria Antonio Machado,Q111434661
par_8_06953,Aeródromo del Campo del Ángel,Q66386462
par_8_06954,Aeródromo del Campo del Ángel,Q66386462
par_8_06960,Aeródromo del Campo del Ángel,Q66386462
par_8_06961,Aeródromo del Campo del Ángel,Q66386462
par_8_06964,Biblioteca Pública Municipal - Rafael Alberti. Distrito II,Q85696020
par_8_06965,Monumento a Manuel Azaña en Alcalá de Henares,Q81222478
par_8_06967,Monumento a Manuel Azaña en Alcalá de Henares,Q81222478
