id,name,population
13098_AM,Viso del Marqués agregacion de municipios,2974
14001,Adamuz,4141
14002,Aguilar de la Frontera,13398
14004_AM,Almedinilla agregacion de municipios,3028
14005_AM,Almodóvar del Río agregacion de municipios,9598
14007_AM,Baena agregacion de municipios,19983
14008,Belalcázar,3207
14009,Belmez,2905
14010,Benamejí,4982
14012,Bujalance,7316
14013,Cabra,20245
14014,Cañete de las Torres,2888
14017,"Carlota, La",14228
14018,"Carpio, El",4382
14019,Castro del Río,7740
14021,Córdoba,322071
14022_AM,Doña Mencía agregacion de municipios,5237
14023_AM,Dos Torres agregacion de municipios,5755
14024_AM,Encinas Reales agregacion de municipios,3719
14025,Espejo,3272
14026_AM,Espiel agregacion de municipios,6086
14027,Fernán-Núñez,9667
14029_AM,Fuente Obejuna agregacion de municipios,5942
14030_AM,Fuente Palmera agregacion de municipios,10936
14035,Hinojosa del Duque,6684
14036,Hornachuelos,4517
14037,Iznájar,4106
14038,Lucena,42712
14039_AM,Luque agregacion de municipios,5319
14040,Montalbán de Córdoba,4517
14041,Montemayor,3851
14042,Montilla,22633
14043_AM,Montoro agregacion de municipios,10704
14045_AM,Moriles agregacion de municipios,5669
14046,Nueva Carteya,5341
14049,Palma del Río,20910
14050,Pedro Abad,2808
14051_AM,Pedroche agregacion de municipios,2883
14052,Peñarroya-Pueblonuevo,10508
14053,Posadas,7296
14054,Pozoblanco,17156
14055,Priego de Córdoba,22251
14056,Puente Genil,29767
14057,"Rambla, La",7515
14058,Rute,9835
14060_AM,Santaella agregacion de municipios,5976
14065_AM,"Victoria, La agregacion de municipios",3165
14066,Villa del Río,7016
14067,Villafranca de Córdoba,4897
14069,Villanueva de Córdoba,8662
14070_AM,Villanueva del Duque agregacion de municipios,2890
14073,Villaviciosa de Córdoba,3191
14074_AM,"Viso, El agregacion de municipios",3284
15001,Abegondo,5494
15002,Ames,31993
15004,Ares,5997
15005,Arteixo,32894
15006_AM,Arzúa agregacion de municipios,7493
15007,"Baña, A",3389
15008,Bergondo,6817
15009,Betanzos,13030
15010_AM,Boimorto agregacion de municipios,6041
15011,Boiro,18955
15012,Boqueixón,4186
15013,Brión,7957
15014,Cabana de Bergantiños,4185
15015,Cabanas,3359
15016,Camariñas,5224
15017,Cambre,24616
15019,Carballo,31414
15020,Carnota,3854
15021,Carral,6574
15022_AM,Cedeira agregacion de municipios,8925
15023_AM,Cee agregacion de municipios,9174
15024,Cerceda,4996
15029,Coristanco,5878
15030,"Coruña, A",245468
15031,Culleredo,30758
15032_AM,Curtis agregacion de municipios,5914
15033,Dodro,2710
15034,Dumbría,2927
15035,Fene,12832
15036,Ferrol,64785
15037,Fisterra,4714
15040,Laxe,3004
15041,"Laracha, A",11521
15042,Lousame,3235
15043,Malpica de Bergantiños,5332
